%time,field.header.seq,field.header.stamp,field.header.frame_id,field.name0,field.name1,field.name2,field.name3,field.name4,field.name5,field.position0,field.position1,field.position2,field.position3,field.position4,field.position5,field.velocity0,field.velocity1,field.velocity2,field.velocity3,field.velocity4,field.velocity5,field.effort0,field.effort1,field.effort2,field.effort3,field.effort4,field.effort5
1761396911252357974,17095,1761396911251386600,,joint1,joint2,joint3,joint4,joint5,joint6,-0.00031403140746988356,-0.19676966965198517,-0.032783277332782745,-0.012875287793576717,-0.2141014039516449,0.835951566696167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1761396911272158952,17096,1761396911271381863,,joint1,joint2,joint3,joint4,joint5,joint6,-0.00031403140746988356,-0.19676966965198517,-0.032783277332782745,-0.012875287793576717,-0.2141014039516449,0.835951566696167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1761396911292127561,17097,1761396911291351322,,joint1,joint2,joint3,joint4,joint5,joint6,-0.00031403140746988356,-0.19676966965198517,-0.032783277332782745,-0.012875287793576717,-0.2141014039516449,0.835951566696167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1761396911312102996,17098,1761396911311336585,,joint1,joint2,joint3,joint4,joint5,joint6,-0.00031403140746988356,-0.19676966965198517,-0.032783277332782745,-0.012875287793576717,-0.2141014039516449,0.835951566696167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1761396911331829165,17099,1761396911331328761,,joint1,joint2,joint3,joint4,joint5,joint6,-0.00031403140746988356,-0.19676966965198517,-0.032783277332782745,-0.012875287793576717,-0.2141014039516449,0.835951566696167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1761396911352182565,17100,1761396911351384303,,joint1,joint2,joint3,joint4,joint5,joint6,-0.00031403140746988356,-0.19676966965198517,-0.032783277332782745,-0.012875287793576717,-0.2141014039516449,0.835951566696167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1761396911371875217,17101,1761396911371384245,,joint1,joint2,joint3,joint4,joint5,joint6,-0.00031403140746988356,-0.19676966965198517,-0.032783277332782745,-0.012875287793576717,-0.2141014039516449,0.835951566696167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1761396911391894658,17102,1761396911391390927,,joint1,joint2,joint3,joint4,joint5,joint6,-0.00031403140746988356,-0.19676966965198517,-0.032783277332782745,-0.012875287793576717,-0.2141014039516449,0.835951566696167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1761396911412324968,17103,1761396911411377956,,joint1,joint2,joint3,joint4,joint5,joint6,-0.00031403140746988356,-0.19676966965198517,-0.032783277332782745,-0.012875287793576717,-0.2141014039516449,0.835951566696167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1761396911432213144,17104,1761396911431376834,,joint1,joint2,joint3,joint4,joint5,joint6,-0.00031403140746988356,-0.19676966965198517,-0.032783277332782745,-0.012875287793576717,-0.2141014039516449,0.835951566696167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
